# FDQN-TE+ Summary
Param,Value
N,300
AliveNodes,65
DeadNodes,235
EnergyMean_J,0.122164
EnergyTotalConsumed_J,352.059365
PDR_RL_pct,96.72
PDR_NS3_pct,100.00
AvgDelay_ms,4.77
TxPackets,23867
RxPackets,23867
RL_PktEmitted,154067
RL_PktDelivered,149020
IFO_Rounds,30
FND_t,1617.00
HND_t,2597.00
LND_t,0.00
RL_Steps,154067
FedRounds,3081
Seed,42
SimDuration_s,3000.00
RadioRange_m,150.00
AreaSize_m,1000.00
InitEnergy_J,1.20
